exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
1301,2,"('profile', 'user')",a1.large,794.33,151.41,92.41,3184796842.67,2462921728.0,2662400.0,6.29,0.0,3.13,2.08,2.08
537,0,"('rate', 'recommendation')",a1.medium,183.67,108.05,50.71,1370931370.67,1364551509.33,2662400.0,4.08,0.0,0.97,1.28,1.28
792,0,"('rate', 'recommendation')",M6.medium,222.91,97.44,43.16,3274779306.67,2327235754.67,2662400.0,3.46,0.0,0.66,1.12,1.12
792,1,"('rate', 'recommendation')",M6.medium,539.19,131.35,60.56,3269212501.33,2328539136.0,2662400.0,3.79,0.0,0.23,0.59,0.59
792,2,"('rate', 'recommendation')",M6.medium,857.35,163.86,77.23,3263960234.67,2328957781.33,2662400.0,3.96,0.0,0.12,0.31,0.31
538,0,"('rate', 'reservation')",a1.medium,275.4,100.78,47.94,1344943445.33,1336507904.0,2662400.0,4.13,0.0,0.72,1.07,1.07
538,0,"('rate', 'reservation')",a1.medium,591.71,133.5,66.63,1352956928.0,1334322858.67,2662400.0,5.33,0.0,0.78,1.35,1.35
538,1,"('rate', 'reservation')",a1.medium,909.88,167.66,86.59,1361340586.67,1317539328.0,2662400.0,4.17,0.0,0.47,1.13,1.13
538,2,"('rate', 'reservation')",a1.medium,1225.17,200.81,105.93,1362052608.0,1310872234.67,2662400.0,4.42,0.0,0.31,0.56,0.56
539,0,"('rate', 'search')",a1.medium,1557.7,230.62,120.99,1361453056.0,1313216170.67,2662400.0,4.0,0.0,0.26,0.36,0.36
539,1,"('rate', 'search')",a1.medium,1893.03,259.21,135.69,1360932864.0,1313553066.67,2662400.0,4.21,0.0,0.99,0.88,0.88
539,2,"('rate', 'search')",a1.medium,2235.96,285.89,148.65,1372741461.33,1312718848.0,2662400.0,3.71,0.0,0.14,0.39,0.39
539,2,"('rate', 'search')",a1.medium,2571.14,314.96,163.31,1357282474.67,1315037354.67,2662400.0,4.65,0.0,0.4,0.44,0.44
795,0,"('rate', 'user')",M6.medium,333.81,107.6,48.1,3281844906.67,2326273877.33,2662400.0,3.96,0.0,0.46,0.96,0.96
