exp_id,service_combination,vm_type,service_name,API_name,performance_value(ms)
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,user,GetUsers,0
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,catalogue,List,0
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,catalogue,Get,0.0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,payment,Authorise,0.0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,carts,get_cart,10.1284
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,carts,merge,24.1194
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,carts,addToCart,22.4176
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,carts,delete,11.0605
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,user,GetAddresses,0.0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,user,Login,0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,user,GetUsers,0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,catalogue,List,0.0
307,"('payment', 'carts', 'user', 'catalogue')",a1.2xlarge,catalogue,Get,0.0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,payment,Authorise,0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,carts,get_cart,11.2564
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,carts,merge,24.5356
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,carts,addToCart,25.8161
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,carts,delete,12.8168
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,user,GetUsers,0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,user,Login,0.0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,user,GetAddresses,0.0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,catalogue,List,0.0
28,"('payment', 'carts', 'user', 'catalogue')",t3.micro,catalogue,Get,0.0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,payment,Authorise,0.0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,carts,get_cart,14.902
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,carts,merge,23.5294
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,carts,addToCart,26.5116
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,carts,delete,13.6548
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,user,GetUsers,0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,user,Login,0.0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,user,GetAddresses,0.0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,catalogue,List,0
59,"('payment', 'carts', 'user', 'catalogue')",t3.small,catalogue,Get,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,payment,Authorise,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,payment,Authorise,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,carts,get_cart,11.2394
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,carts,merge,25.37
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,carts,addToCart,23.3767
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,carts,delete,12.9891
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,user,GetUsers,0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,user,Login,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,user,GetAddresses,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,catalogue,List,0.0
214,"('payment', 'carts', 'user', 'catalogue')",t3.large,catalogue,Get,0.0
80,"('payment', 'carts', 'catalogue')",a1.medium,payment,Authorise,0
80,"('payment', 'carts', 'catalogue')",a1.medium,carts,get_cart,17.4342
80,"('payment', 'carts', 'catalogue')",a1.medium,carts,merge,34.2114
80,"('payment', 'carts', 'catalogue')",a1.medium,carts,addToCart,40.0792
80,"('payment', 'carts', 'catalogue')",a1.medium,carts,delete,18.6482
80,"('payment', 'carts', 'catalogue')",a1.medium,catalogue,List,0.0
80,"('payment', 'carts', 'catalogue')",a1.medium,catalogue,Get,0.0
142,"('payment', 'carts', 'catalogue')",a1.large,payment,Authorise,0
142,"('payment', 'carts', 'catalogue')",a1.large,payment,Authorise,0.0
142,"('payment', 'carts', 'catalogue')",a1.large,carts,get_cart,10.7284
