exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
1273,0,"('orders',)",a1.2xlarge,349.85,17.15,6.61,15208580266.67,1311129258.67,2662400.0,7.75,0.0,0.58,0.34,0.34
1273,1,"('orders',)",a1.2xlarge,690.59,30.4,9.43,15130541738.67,1313419434.67,2662400.0,6.83,0.0,0.23,0.31,0.31
1273,2,"('orders',)",a1.2xlarge,1031.74,43.31,12.23,15116776448.0,1313716565.33,2662400.0,6.92,0.0,0.24,0.34,0.34
259,0,"('catalogue',)",a1.medium,199.75,97.29,47.51,1416626176.0,1419573248.0,2662400.0,2.83,0.0,1.04,1.15,1.15
259,1,"('catalogue',)",a1.medium,525.39,117.72,57.89,1417355776.0,1402166272.0,2662400.0,3.29,0.0,0.28,0.57,0.57
259,2,"('catalogue',)",a1.medium,847.07,137.76,67.9,1411765760.0,1387215872.0,2662400.0,2.96,0.0,0.07,0.2,0.2
1024,0,"('payment', 'carts')",a1.xlarge,327.92,44.03,16.78,6797825536.0,2203849045.33,2662400.0,5.25,0.0,0.38,0.63,0.63
1024,1,"('payment', 'carts')",a1.xlarge,683.54,67.88,23.36,6821285546.67,2205296469.33,2662400.0,5.42,0.0,0.26,0.38,0.38
1024,2,"('payment', 'carts')",a1.xlarge,1039.31,91.4,29.87,6780192597.33,2203930453.33,2662400.0,6.13,0.0,0.28,0.3,0.3
8,0,"('payment', 'carts')",t3.micro,334.54,75.16,26.59,298387626.67,323236010.67,0.0,4.12,0.46,0.71,0.91,0.91
135,0,"('payment', 'carts')",t3.small,285.86,74.56,27.31,1070638421.33,1013227861.33,2662400.0,4.96,0.08,0.66,0.8,0.8
1151,0,"('payment', 'carts')",M6.xlarge,313.05,47.45,19.4,15159658154.67,2208601770.67,2662400.0,5.58,0.0,0.47,0.59,0.59
1151,1,"('payment', 'carts')",M6.xlarge,665.98,72.92,29.22,15100135253.33,2208971776.0,2662400.0,5.46,0.0,1.29,1.16,1.16
897,0,"('payment', 'carts')",t3.large,273.99,76.56,30.74,6950432768.0,2144604842.67,2662400.0,5.88,0.04,0.46,0.75,0.75
897,1,"('payment', 'carts')",t3.large,613.63,111.66,39.94,6959386624.0,2145425408.0,2662400.0,5.04,0.0,0.23,0.37,0.37
897,2,"('payment', 'carts')",t3.large,951.22,144.6,48.99,6950942890.67,2145732266.67,2662400.0,5.21,0.0,0.46,0.49,0.49
1279,0,"('payment', 'orders')",a1.2xlarge,364.48,26.54,10.11,14899190442.67,2206956714.67,2662400.0,7.38,0.0,0.97,0.74,0.74
1279,1,"('payment', 'orders')",a1.2xlarge,733.01,40.43,13.88,14974935381.33,2207340714.67,2662400.0,6.63,0.0,0.19,0.47,0.47
1279,2,"('payment', 'orders')",a1.2xlarge,1100.28,55.32,17.86,14917841920.0,2208184490.67,2662400.0,6.75,0.0,0.46,0.4,0.4
264,0,"('payment', 'user')",a1.medium,240.99,92.46,43.05,1356769280.0,1248106837.33,2662400.0,4.67,0.0,1.0,1.13,1.13
264,1,"('payment', 'user')",a1.medium,585.58,119.1,55.82,1374295381.33,1318784341.33,2662400.0,3.29,0.0,0.25,0.52,0.52
391,0,"('payment', 'user')",M6.medium,229.44,106.24,48.92,3250574506.67,2293006848.0,2662400.0,4.04,0.0,0.89,1.21,1.21
391,1,"('payment', 'user')",M6.medium,568.13,148.76,71.96,3262480554.67,2293996202.67,2662400.0,4.33,0.0,0.84,0.7,0.7
391,2,"('payment', 'user')",M6.medium,902.36,191.07,94.62,3253915306.67,2294283605.33,2662400.0,4.0,0.0,0.56,1.05,1.05
265,0,"('payment', 'catalogue')",a1.medium,256.45,93.25,52.76,1360769024.0,1343993173.33,2662400.0,4.38,0.0,0.76,1.04,1.04
265,1,"('payment', 'catalogue')",a1.medium,597.67,130.02,81.51,1352076970.67,1322392576.0,2662400.0,4.75,0.0,0.18,0.51,0.51
